type,title,cast,country,date_added,release_year,rating,listed_in,id,duration_int,duration_type,score
movie,space cowboys,"clint eastwood, tommy lee jones, donald sutherland, james garner, james cromwell, marcia gay harden, william devane, loren dean, courtney b. vance, rade serbedzija, barbara babcock, blair brown",united states,2021-08-01,2000,pg-13,"action & adventure, dramas, sci-fi & fantasy",ns351,130,min,3.59
movie,team america: world police,"trey parker, matt stone, kristen miller, masasa moyo, daran norris, phil hendrie, maurice lamarche, chelsea magritte, jeremy shada, fred tatasciore","united states, germany",2021-08-01,2004,r,"action & adventure, comedies, cult movies",ns352,98,min,3.56
movie,the edge of seventeen,"hailee steinfeld, woody harrelson, kyra sedgwick, haley lu richardson, blake jenner, hayden szeto, alexander calvert, eric keenleyside","united states, china",2021-08-01,2016,r,"comedies, dramas",ns353,105,min,3.53
movie,the haunting in connecticut 2: ghosts of georgia,"abigail spencer, chad michael murray, katee sackhoff, emily alyn lind, cicely tyson, andrea frankle, brad james, lance e. nichols",united states,2021-08-01,2013,r,horror movies,ns354,101,min,3.47
movie,the last boy scout,"bruce willis, damon wayans, chelsea field, noble willingham, taylor negron, danielle harris, halle berry, bruce mcgill",united states,2021-08-01,1991,r,"action & adventure, comedies",ns355,105,min,3.58
movie,the lincoln lawyer,"matthew mcconaughey, josh lucas, ryan phillippe, john leguizamo, michael peña, bryan cranston, bob gunton, william h. macy, marisa tomei, frances fisher",united states,2021-08-01,2011,r,"dramas, thrillers",ns356,118,min,3.58
movie,the losers,"jeffrey dean morgan, zoe saldana, chris evans, idris elba, columbus short, óscar jaenada, jason patric, holt mccallany, peter macdissi, peter francis james","united states, france",2021-08-01,2010,pg-13,action & adventure,ns357,97,min,3.47
movie,the machinist,"christian bale, jennifer jason leigh, aitana sánchez-gijón, john sharian, michael ironside, lawrence gilliard jr., reg e. cathey, anna massey, matthew romero, robert long, colin stinton, craig stevenson","spain, france, united kingdom, united states",2021-08-01,2004,r,"dramas, independent movies, thrillers",ns358,102,min,3.51
movie,the net,"sandra bullock, jeremy northam, dennis miller, diane baker, wendy gazelle, ken howard, ray mckinnon, daniel schorr, l. scott caldwell, robert gossett",united states,2021-08-01,1995,pg-13,thrillers,ns359,114,min,3.5
movie,the original kings of comedy,"steve harvey, d.l. hughley, cedric the entertainer, bernie mac",united states,2021-08-01,2000,r,stand-up comedy,ns360,111,min,3.53
movie,valentine's day,"jessica alba, kathy bates, jessica biel, bradley cooper, eric dane, patrick dempsey, hector elizondo, jamie foxx, jennifer garner, topher grace, anne hathaway, ashton kutcher, queen latifah, taylor lautner, george lopez, shirley maclaine, emma roberts, julia roberts, taylor swift",united states,2021-08-01,2010,pg-13,"comedies, romantic movies",ns361,125,min,3.61
tv show,charmed,"madeleine mantock, sarah jeffery, melonie diaz, rupert evans, ser'darius blain, ellen tamaki, charlie gillespie",united states,2021-07-31,2021,tv-14,"tv dramas, tv sci-fi & fantasy",ns362,3,season,3.61
movie,the lost café,"tunde aladese, omatta udalor, terje lien, ann njemanze, anders lidin hansen, jenny bonden, belinda effah, anita daniels, silje drensgrud, torbjørn jensen",,2021-07-31,2018,tv-14,"dramas, international movies",ns363,76,min,3.49
movie,the vault,"freddie highmore, astrid bergès-frisbey, sam riley, liam cunningham, josé coronado, luis tosar, emilio gutiérrez caba, axel stein, daniel holguín, famke janssen",,2021-07-31,2021,r,"action & adventure, international movies, thrillers",ns364,118,min,3.5
tv show,centaurworld,"kimiko glenn, megan hilty, parvesh cheena, chris diamantopoulos, megan nicole dong, jessie mueller, josh radnor",,2021-07-30,2021,tv-y7,"kids' tv, tv comedies",ns365,1,season,3.48
movie,eyes of a thief,"khaled abol el naga, souad massi, suhail haddad, malak ermileh, maisa abd elhadi, walid abdul salam, nisreen faour, areen omari",", france, algeria",2021-07-30,2014,tv-14,"dramas, independent movies, international movies",ns366,103,min,3.56
tv show,glow up,,united kingdom,2021-07-30,2021,tv-14,"british tv shows, international tv shows, reality tv",ns367,3,season,3.52
movie,i'm glad i did,"metin akpınar, demet akbağ, umur bugay, ahmet gülhan, dikmen gürün, kandemir konduk, perran kutman, zeynep oral, nevra serezli, selma sonat, suat sungur, ferhan şensoy, cihat tamer, demet taner",,2021-07-30,2020,tv-14,"documentaries, international movies",ns368,114,min,3.47
tv show,khawatir,,,2021-07-30,2009,tv-14,"international tv shows, reality tv",ns369,1,season,3.52
tv show,myth & mogul: john delorean,,,2021-07-30,2021,tv-14,"british tv shows, crime tv shows, docuseries",ns370,1,season,3.51
tv show,outer banks,"chase stokes, madelyn cline, madison bailey, jonathan daviss, rudy pankow, charles esten, adina porter, austin north, drew starkey",united states,2021-07-30,2021,tv-ma,"tv action & adventure, tv dramas, teen tv shows",ns371,2,season,3.56
movie,pomegranates and myrrh,"yasmine al massri, ashraf farah, ali suliman, hiam abbass, samia kuzmoz bakri, yosef abu wardeh, wardeh dukwar, manal awad, valentina abu-'aksa, walid abdul salam, ahmad abu sal'oum, wardeh jubran",,2021-07-30,2009,tv-14,"dramas, independent movies, international movies",ns372,95,min,3.59
movie,rurouni kenshin: the beginning,"takeru satoh, kasumi arimura, issey takahashi, nijiro murakami, masanobu ando, kazuki kitamura, yosuke eguchi",,2021-07-30,2021,tv-ma,"action & adventure, international movies",ns373,138,min,3.51
movie,the last mercenary,"jean-claude van damme, alban ivanov, éric judor, patrick timsit, miou-miou, assa sylla, samir decazza, valérie kaprisky, djimo, nassim lyes",,2021-07-30,2021,tv-ma,"action & adventure, comedies, international movies",ns374,112,min,3.44
movie,flower girl,"damilola adegbite, chris attoh, chuks chukwujekwu, blossom chukwujekwu, eku edewor, bikiya graham douglas",nigeria,2021-07-29,2013,tv-pg,"comedies, international movies, romantic movies",ns375,94,min,3.53
movie,resort to love,"christina milian, jay pharoah, sinqua walls, tymberlee hill, jeryl prescott gallien, christiani pitts, karen obilom, alexander hodge, t.j. power, sylvaine strike, kayne lee harrison",,2021-07-29,2021,tv-14,"comedies, romantic movies",ns376,102,min,3.52
tv show,transformers: war for cybertron: kingdom,"jake foushee, jason marnocha, linsay rousseau, joe zieja, frank todaro, bill rogers, keith silverstein, edward bosco, tessho genda, ryohei kimura, kikuko inoue, kazuhiko inoue, chafurin",,2021-07-29,2021,tv-y7,anime series,ns377,1,season,3.55
movie,bartkowiak,"józef pawłowski, zofia domalik, szymon bobrowski, bartłomiej topa, janusz chabior, rafał zawierucha, antoni pawlicki, cezary łukaszewicz, danuta stenka, jan frycz, damian majewski",poland,2021-07-28,2021,tv-ma,"action & adventure, international movies",ns378,92,min,3.57
movie,fantastic fungi,,united states,2021-07-28,2019,tv-14,documentaries,ns379,81,min,3.54
tv show,tattoo redo,,,2021-07-28,2021,tv-ma,reality tv,ns380,1,season,3.5
tv show,the flash,"grant gustin, candice patton, danielle panabaker, carlos valdes, tom cavanagh, jesse l. martin, neil sandilands, britne oldford, danielle nicolet, keiynan lonsdale, kim engelbrecht",united states,2021-07-28,2021,tv-14,"crime tv shows, tv action & adventure, tv sci-fi & fantasy",ns381,7,season,3.5
tv show,the snitch cartel: origins,"juan pablo urrego, sebastián osorio, patricia tamayo, verónica velásquez, maría camila zárate, nicole santamaría, eduardo pérez, julian farrieta, gustavo angarita jr., carlos manuel vesga, helena mallarino, david prada, margarita reyes, adriana silva, laura rodríguez, angélica blandón, maia landaburu, jesús de los ríos",,2021-07-28,2021,tv-ma,"crime tv shows, international tv shows, spanish-language tv shows",ns382,1,season,3.57
tv show,all american,"daniel ezra, taye diggs, samantha logan, bre-z, greta onieogou, monet mazur, michael evans behling, cody christian, karimah westbrook, jalyn hall, jordan belfi, briana lane",united states,2021-07-27,2021,tv-14,"tv dramas, teen tv shows",ns383,3,season,3.47
movie,department,"amitabh bachchan, sanjay dutt, rana daggubati, vijay raaz, abhimanyu singh, madhu shalini, deepak tijori, anjana sukhani, manchu lakshmi",india,2021-07-27,2012,tv-ma,"action & adventure, international movies",ns384,143,min,3.46
movie,hostage house,"jennifer taylor, justin schilling, emily sweet, julia terranova, patrick cronen, richard neil",,2021-07-27,2021,tv-14,thrillers,ns385,86,min,3.47
tv show,how to sell drugs online (fast),"maximilian mundt, danilo kamperidis, lena klenke, damian hardung, leonie wesselow, luna schaller, bjarne mädel, roland riebeling",germany,2021-07-27,2021,tv-ma,"crime tv shows, international tv shows, tv comedies",ns386,3,season,3.52
tv show,mighty express,"jay hatton, zoe hatz, meesha contreras, dylan shombing, tyler nathan, leo orgil, michela luci, ian ho, evan lefeuvre, annick obonsawin","united states, canada",2021-07-27,2021,tv-y,kids' tv,ns387,4,season,3.61
movie,mimi,"kriti sanon, pankaj tripathi, sai tamhankar, manoj pahwa, supriya pathak, evelyn edwards",,2021-07-27,2021,tv-14,"comedies, dramas, international movies",ns388,132,min,3.55
tv show,plastic cup boyz: laughing my mask off!,"joey wells, will 'spank' horton, na'im lynn",,2021-07-27,2021,tv-ma,"stand-up comedy & talk shows, tv comedies",ns389,1,season,3.52
movie,the operative,"diane kruger, martin freeman, cas anvar, rotem keinan, yohanan herson","france, israel, germany, united states, united kingdom",2021-07-27,2019,tv-ma,"dramas, international movies, thrillers",ns390,117,min,3.49
tv show,the walking dead,"andrew lincoln, steven yeun, norman reedus, chandler riggs, melissa mcbride, lauren cohan, danai gurira, alanna masterson, sonequa martin-green, josh mcdermitt, christian serratos, seth gilliam, ross marquand, lennie james, emily kinney, jon bernthal",united states,2021-07-26,2019,tv-ma,"classic & cult tv, tv action & adventure, tv dramas",ns391,10,season,3.54
tv show,wynonna earp,"melanie scrofano, shamier anderson, tim rozon, dominique provost-chalkley, michael eklund, katherine barrell, greg lawson, natascha girgis","canada, united states",2021-07-26,2020,tv-ma,"international tv shows, tv action & adventure, tv dramas",ns392,4,season,3.48
movie,django unchained,"jamie foxx, christoph waltz, leonardo dicaprio, kerry washington, samuel l. jackson, walton goggins, dennis christopher, james remar, david steen, dana gourrier, nichole galicia, laura cayouette, ato essandoh, sammi rotibi, escalante lundy, don johnson",united states,2021-07-24,2012,r,"action & adventure, dramas",ns393,165,min,3.54
movie,a second chance:  rivals!,"emily morris, stella shute, eva grados, india colombi, nina pearce, adam tuominen, carmel johnson, natasha wanganeen, elysia markou, alexander lloyd, amy handley",australia,2021-07-23,2021,pg,"children & family movies, sports movies",ns394,91,min,3.47
movie,african america,"phumelele mthembu, anthony goss, thami buti, makhosazana ndlovu, zandile lujabe, gontse ntshegang, roget ellis, bridget pike, boipelo nokukhanya tau, james raynolds, nji alain, bongani dlamin",,2021-07-23,2021,tv-ma,"dramas, independent movies, international movies",ns395,97,min,3.58
movie,bankrolled,"aldo escalante, ricardo polanco, natalia téllez, fabrizio santini, seoju park, maría chacón, giuseppe gamba, sebastián zurita",,2021-07-23,2021,tv-ma,"comedies, international movies",ns396,97,min,3.45
movie,blood red sky,"peri baumeister, alexander scheer, kais setti, carl koch, gordon brown, roland møller, chidi ajufo, kai ivo baulitz, graham mctavish, dominic purcell",,2021-07-23,2021,tv-ma,"action & adventure, horror movies, international movies",ns397,123,min,3.62
tv show,feels like ishq,"radhika madan, amol parashar, rohit saraf, kajol chugh, tanya maniktala, mihir ahuja, simran jehani, sanjeeta bhattacharya, saba azaad, skand thakur, zayn marie khan, neeraj madhav",,2021-07-23,2021,tv-ma,"international tv shows, romantic tv shows, tv comedies",ns398,1,season,3.6
movie,kingdom: ashin of the north,"gianna jun, park byung-eun, kim si-a, kim roi-ha, koo kyo-hwan",,2021-07-23,2021,tv-ma,"horror movies, international movies, thrillers",ns399,94,min,3.52
tv show,masters of the universe: revelation,"mark hamill, lena headey, chris wood, sarah michelle gellar, liam cunningham, stephen root, diedrich bader, griffin newman, tiffany smith, henry rollins, alan oppenheimer, susan eisenberg, alicia silverstone, justin long, jason mewes, phil lamarr, tony todd, cree summer, kevin michael richardson, kevin conroy, harley quinn smith",,2021-07-23,2021,tv-pg,"tv action & adventure, tv sci-fi & fantasy",ns400,1,season,3.56
tv show,revelations: the masters of the universe: revelation aftershow,"kevin smith, tiffany smith, robert david, sarah michelle gellar, chris wood, liam cunningham, alan oppenheimer, lena headey, kevin conroy, henry rollins, jason mewes, stephen root, mark hamill",,2021-07-23,2021,tv-pg,"anime series, stand-up comedy & talk shows",ns401,1,season,3.55
tv show,sky rojo,"verónica sánchez, miguel ángel silvestre, asier etxeandia, lali espósito, yany prado, enric auquer, luis zahera, carmen santamaría, cecilia gómez, godeliv van den brandt, penélope guerrero, luisa vides, niko verona, chema ruiz",spain,2021-07-23,2021,tv-ma,"international tv shows, spanish-language tv shows, tv action & adventure",ns402,2,season,3.51
movie,the last letter from your lover,"shailene woodley, felicity jones, callum turner, joe alwyn, nabhaan rizwan, ncuti gatwa, emma appleton, christian brassington, alice orr-ewing, lee knight, zoe boyle, ben cross, diana kent",united kingdom,2021-07-23,2021,tv-ma,"dramas, romantic movies",ns403,111,min,3.54
tv show,the movies that made us,,united states,2021-07-23,2021,tv-ma,docuseries,ns404,2,season,3.59
movie,9to5: the story of a movement,,,2021-07-22,2021,tv-ma,documentaries,ns405,85,min,3.47
movie,chhota bheem - dinosaur world,"sonal kaushal, rupa bhimani, julie tejwani, sabina malik, jigna bharadwaj",,2021-07-22,2015,tv-y,children & family movies,ns406,65,min,3.54
movie,chhota bheem - neeli pahaadi,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",,2021-07-22,2013,tv-y7,children & family movies,ns407,64,min,3.55
movie,chhota bheem & ganesh,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",,2021-07-22,2009,tv-y7,children & family movies,ns408,68,min,3.64
movie,chhota bheem & krishna: mayanagari,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",,2021-07-22,2011,tv-y7,children & family movies,ns409,67,min,3.5
movie,chhota bheem & krishna: pataliputra- city of the dead,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, arun shekher, sanchit wartak",,2021-07-22,2010,tv-y7,children & family movies,ns410,66,min,3.65
movie,chhota bheem and the broken amulet,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",india,2021-07-22,2013,tv-y7,children & family movies,ns411,64,min,3.58
movie,chhota bheem and the crown of valhalla,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",,2021-07-22,2013,tv-y7,children & family movies,ns412,64,min,3.61
movie,chhota bheem and the incan adventure,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",,2021-07-22,2013,tv-y7,children & family movies,ns413,65,min,3.65
movie,chhota bheem and the shinobi secret,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",,2021-07-22,2013,tv-y7,children & family movies,ns414,64,min,3.54
movie,chhota bheem aur hanuman,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",,2021-07-22,2012,tv-y7,children & family movies,ns415,68,min,3.57
movie,chhota bheem aur krishna,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, arun shekher, sanchit wartak",india,2021-07-22,2009,tv-y7,children & family movies,ns416,68,min,3.57
movie,chhota bheem aur krishna vs zimbara,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",,2021-07-22,2013,tv-y7,children & family movies,ns417,64,min,3.49
movie,chhota bheem in african safari,"sonal kaushal, rupa bhimani, julie tejwani, sabina malik, jigna bharadwaj, rajesh kava",,2021-07-22,2015,tv-y7,children & family movies,ns418,62,min,3.61
movie,chhota bheem ka roosi romanch,"julie tejwani, sabina malik, jigna bharadwaj, rupa bhimani, lalit agarwal, rajesh shukla, disha, rajesh kava, raju",,2021-07-22,2019,tv-y,children & family movies,ns419,63,min,3.51
movie,chhota bheem: bheem vs aliens,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",,2021-07-22,2010,tv-y7,"children & family movies, sports movies",ns420,69,min,3.52
movie,chhota bheem: dholakpur to kathmandu,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",,2021-07-22,2012,tv-y7,children & family movies,ns421,70,min,3.55
movie,chhota bheem: dus pe dus,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",,2021-07-22,2014,tv-y7,children & family movies,ns422,63,min,3.55
movie,chhota bheem: journey to petra,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava",,2021-07-22,2011,tv-y7,children & family movies,ns423,68,min,3.5
movie,chhota bheem: master of shaolin,"pooja punabi, mausam, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, parigna pandya",,2021-07-22,2011,tv-y7,children & family movies,ns424,74,min,3.54
movie,chhota bheem: the rise of kirmada,"vatsal dubey, julie tejwani, rupa bhimani, jigna bhardwaj, rajesh kava, mousam, swapnil",,2021-07-22,2012,tv-y7,children & family movies,ns425,68,min,3.47
tv show,chicago med,"colin donnell, torrey devitto, oliver platt, s. epatha merkerson, nick gehlfuss, yaya dacosta, laurie holden",united states,2021-07-22,2019,tv-14,tv dramas,ns426,5,season,3.55
movie,cousins,"rachel house, briar grace-smith, tanea heke, tioreore ngatai-melbourne, ana scotney, hariata moriarty, chelsie preston crayford, sylvia rands",new zealand,2021-07-22,2021,tv-ma,dramas,ns427,99,min,3.5
movie,wannabe courageous,"ramez galal, jamila awad, bayoumi fouad, mohamed abdel-rahman, mohammed tharwat, maha abou ouf, noor kadri, elshahat mabrouk, badriyyah tulbah, taher abu lela, sara derzawy",,2021-07-22,2019,tv-14,"comedies, international movies",ns428,90,min,3.47
movie,words bubble up like soda pop,"somegoro ichikawa, hana sugisaki, megumi han, natsuki hanae, yuuichirou umehara, megumi nakajima, sumire morohoshi, hiroshi kamiya, maaya sakamoto, koichi yamadera, kikuko inoue",,2021-07-22,2021,tv-g,"anime features, children & family movies, international movies",ns429,87,min,3.58
movie,sanitation day,"blossom chukwujekwu, elozonam ogbolu, nse ikpe-etim, belinda effah, saeed mohammed, chukwuemeka okoroafor, kunle fawole, chris okagbue, adebayo salami, charles inojie, elvina ibru, tobi bakare",nigeria,2021-07-21,2020,tv-14,"dramas, international movies, thrillers",ns430,105,min,3.52
tv show,sexy beasts,,,2021-07-21,2021,tv-14,"british tv shows, international tv shows, reality tv",ns431,1,season,3.53
tv show,too hot to handle: brazil,bruna louise,,2021-07-21,2021,tv-ma,"international tv shows, reality tv, romantic tv shows",ns432,1,season,3.59
movie,trollhunters: rise of the titans,"emile hirsch, lexi medrano, charlie saxton, kelsey grammer, fred tatasciore, steven yeun, cole sand, amy landecker, jonathan hyde, thomas f. wilson, lauren tom, diego luna, tatiana maslany, nick offerman, nick frost, colin o'donoghue, alfred molina, piotr michael, kay bess, angel lin, james hong",,2021-07-21,2021,tv-y7,children & family movies,ns433,106,min,3.46
movie,milkwater,"molly bernard, patrick breen, robin de jesús, ava eisenson, ade otukoya",united states,2021-07-20,2020,tv-ma,"comedies, dramas, independent movies",ns434,102,min,3.55
tv show,okupas,"rodrigo de la serna, diego alonso, ariel staltari, franco tirri, ana celentano, rosina soto, augusto brítez, dante mastropierro, susana manchini, diana wells",argentina,2021-07-20,2020,tv-ma,"classic & cult tv, crime tv shows, international tv shows",ns435,1,season,3.56
tv show,touch your heart,"lee dong-wook, yoo in-na, lee sang-woo, son sung-yoon, oh jung-se, shim hyoung-tak, jang so-yeon, park ji-hwan, lee jun-hyuk",,2021-07-20,2019,tv-ma,"crime tv shows, international tv shows, romantic tv shows",ns436,1,season,3.51
movie,the tambour of retribution,"faisal al dokhei, adwa fahad, muhand alsaleh, rawya ahmed, ajeba aldosary, aly ibrahim, samer elkhal, hashem hawsawi, ibrahim mesisebi, shabib alkhaleefa, abdulateif saud, nada alshehry, dhay nasser",saudi arabia,2021-07-19,2021,tv-14,"dramas, international movies, romantic movies",ns437,91,min,3.53
movie,cosmic sin,"frank grillo, bruce willis, brandon thomas lee, corey large, perrey reeves, c.j. perry, lochlyn munro, costas mandylor, adelaide kane, eva de dominici, sarah may sommers, trevor gretzky",united states,2021-07-17,2021,r,action & adventure,ns438,88,min,3.49
movie,2 weeks in lagos,"beverly naya, mawuli gavor, ajoke silva, jide kosoko, toyin abraham, okey uzoeshi, deyemi okanlawon, shaffy bello, tina mba, efe irele",,2021-07-16,2020,tv-pg,"dramas, international movies, romantic movies",ns439,107,min,3.54
movie,deep,"panisara rikulsurakan, kay lertsittichai, supanaree sutavijitvong, krit jeerapattananuwong, warisara jitpreedasakul, dujdao vadhanapakorn, kim waddoup, philaiwan khamphirathat, wongsakorn rassamitat, bhumibhat thavornsiri",thailand,2021-07-16,2021,tv-ma,"dramas, international movies, thrillers",ns440,101,min,3.58
tv show,explained,,united states,2021-07-16,2021,tv-ma,"docuseries, science & nature tv",ns441,3,season,3.47
movie,fear street part 3: 1666,"kiana madeira, ashley zukerman, gillian jacobs, olivia scott welch, benjamin flores jr., darrell britt-gibson, sadie sink, emily rudd, mccabe slye, julia rehwald, fred hechinger, jordana spiro, jordyn dinatale",,2021-07-16,2021,r,"horror movies, lgbtq movies",ns442,114,min,3.59
tv show,johnny test,"james arnold taylor, trevor devall, maryke hendrikse, emily tennant","united states, canada",2021-07-16,2021,tv-y7,"kids' tv, tv comedies",ns443,1,season,3.59
movie,la ley de herodes,"damián alcázar, pedro armendáriz jr., delia casanova, juan carlos colombo, alex cox, guillermo gil, ernesto gómez cruz, leticia huijara, luis de icaza, eduardo lópez rojas, manuel ojeda, salvador sánchez, evangelina sosa, isela vega",,2021-07-16,1999,r,"comedies, international movies",ns444,123,min,3.53
tv show,naomi osaka,,,2021-07-16,2021,tv-14,docuseries,ns445,1,season,3.53
movie,the beguiled,"colin farrell, nicole kidman, kirsten dunst, elle fanning, oona laurence, angourie rice, addison riecke, emma howard",united states,2021-07-16,2017,r,"dramas, independent movies, thrillers",ns446,94,min,3.62
movie,the book of henry,"naomi watts, jaeden martell, jacob tremblay, sarah silverman, dean norris, lee pace, maddie ziegler, tonya pinkins, bobby moynihan, geraldine hughes",united states,2021-07-16,2017,pg-13,dramas,ns447,105,min,3.61
movie,the twilight saga: breaking dawn: part 1,"kristen stewart, robert pattinson, taylor lautner, billy burke, peter facinelli, elizabeth reaser, kellan lutz, nikki reed, jackson rathbone, ashley greene",united states,2021-07-16,2011,pg-13,"dramas, romantic movies",ns448,117,min,3.54
movie,the twilight saga: breaking dawn: part 2,"kristen stewart, robert pattinson, taylor lautner, peter facinelli, elizabeth reaser, ashley greene, jackson rathbone, kellan lutz, nikki reed, billy burke",united states,2021-07-16,2012,pg-13,"dramas, romantic movies",ns449,115,min,3.51
movie,the twilight saga: eclipse,"kristen stewart, robert pattinson, taylor lautner, bryce dallas howard, billy burke, dakota fanning, peter facinelli, elizabeth reaser, jackson rathbone, kellan lutz, ashley greene, nikki reed",united states,2021-07-16,2010,pg-13,"dramas, romantic movies",ns450,124,min,3.56
movie,the twilight saga: new moon,"kristen stewart, robert pattinson, taylor lautner, ashley greene, rachelle lefevre, billy burke, michael sheen, dakota fanning, peter facinelli, elizabeth reaser, jackson rathbone, kellan lutz, nikki reed, edi gathegi",united states,2021-07-16,2009,pg-13,"dramas, romantic movies",ns451,131,min,3.58
movie,twilight,"kristen stewart, robert pattinson, billy burke, peter facinelli, elizabeth reaser, cam gigandet, ashley greene, anna kendrick, nikki reed, taylor lautner, jackson rathbone, kellan lutz",united states,2021-07-16,2008,pg-13,"action & adventure, dramas, romantic movies",ns452,122,min,3.48
movie,a perfect fit,"nadya arina, refal hady, giorgino abraham, anggika bolsterli, laura theux, christine hakim, unique priscilla, karina suwandi, mathias muchus, ayu laksmi, i made sidia, dominique sanda, bryan domani, wafda saifan, yayu unru, dave hendrik",indonesia,2021-07-15,2021,tv-pg,"comedies, dramas, international movies",ns453,113,min,3.44
tv show,beastars,"chikahiro kobayashi, sayaka senbongi, yuki ono, atsumi tanezaki, junya enoki, yuma uchida, takeo otsuka, naoto kobayashi, yoshiyuki shimozuma, nobuhiko okamoto, fukushi ochiai, takaaki torashima, sayumi watabe, genki muro, yuichi iguchi, yuko hara, ikuto kanemasa, ouchi akane, hibiku yamamura, sakura ando, akio otsuka, mitsuaki hoshino, kenyu horiuchi",japan,2021-07-15,2021,tv-ma,"anime series, international tv shows",ns454,2,season,3.58
movie,cheech & chong's still smokin,"cheech marin, tommy chong, susan hahn, carol van herwijnen, shireen strooker",,2021-07-15,1983,tv-ma,"comedies, cult movies",ns455,91,min,3.55
movie,emicida: amarelo - live in são paulo,emicida,,2021-07-15,2021,tv-ma,"documentaries, international movies, music & musicals",ns456,100,min,3.51
tv show,her private life,"park min-young, kim jae-uk, ahn bo-hyun, jung je-won, park jin-joo, kim bo-ra, maeng sang-hun, kim mee-kyung, kim sun-young, lee il-hwa",south korea,2021-07-15,2019,tv-14,"international tv shows, romantic tv shows, tv comedies",ns457,1,season,3.53
movie,lift like a girl,,"egypt, denmark, germany",2021-07-15,2021,tv-pg,"documentaries, international movies, sports movies",ns458,93,min,3.56
movie,my amanda,"piolo pascual, alessandra de rossi, kc montero, alex medina, jess mendoza, helga krapf, joyce ann burton, luz valdez",,2021-07-15,2021,tv-14,"dramas, international movies, romantic movies",ns459,90,min,3.46
tv show,never have i ever,"maitreyi ramakrishnan, poorna jagannathan, richa moorjani, jaren lewison, darren barnet, john mcenroe, ramona young, lee rodriguez, sendhil ramamurthy, adam shapiro, niecy nash, cocoa brown, lily d. moore, eddie liu",united states,2021-07-15,2021,tv-14,"tv comedies, tv dramas, teen tv shows",ns460,2,season,3.49
movie,surf's up,"shia labeouf, jeff bridges, zooey deschanel, jon heder, james woods, diedrich bader, mario cantone, kelly slater, rob machado, sal masekela","united states, canada",2021-07-15,2007,pg,"children & family movies, comedies, sports movies",ns461,86,min,3.56
movie,the unknown saint,"younes bouab, salah bensalah, bouchaib essamak, mohamed naimane, anas elbaz, hassan ben badida, abdelghani kitab, ahmed yarziz, rachid el adouani, mohamed el moutamassik, abdel ghani benizza, adam morjany",,2021-07-15,2019,tv-14,"comedies, dramas, independent movies",ns462,100,min,3.57
movie,this changes everything,,united states,2021-07-15,2019,tv-ma,documentaries,ns463,96,min,3.49
movie,a classic horror story,"matilda lutz, francesco russo, peppino mazzotta, will merrick, yuliia sobol, alida baldari calabria, cristina donadio, francesca cavallin",italy,2021-07-14,2021,tv-ma,"horror movies, international movies",ns464,95,min,3.55
movie,gunpowder milkshake,"karen gillan, lena headey, carla gugino, chloe coleman, michelle yeoh, angela bassett, paul giamatti, ralph ineson, adam nagaitis, michael smiley, freya allan",,2021-07-14,2021,r,"action & adventure, comedies",ns465,115,min,3.53
tv show,heist,,,2021-07-14,2021,tv-ma,"crime tv shows, docuseries",ns466,1,season,3.57
tv show,my unorthodox life,,,2021-07-14,2021,tv-ma,reality tv,ns467,1,season,3.53
movie,private network: who killed manuel buendía?,daniel giménez cacho,,2021-07-14,2021,tv-ma,"documentaries, international movies",ns468,100,min,3.48
movie,the guide to the perfect family,"louis morissette, émilie bierre, catherine chabot, xavier lebel, isabelle guérard, gilles renaud, alexandre goyette, jean-carl boucher, louise portal",,2021-07-14,2021,tv-ma,"comedies, dramas, international movies",ns469,102,min,3.42
movie,american woman,"hong chau, sarah gadon, john gallagher jr., lola kirke, ellen burstyn, david cubitt, jordan pettle, richard walters","united states, canada",2021-07-13,2019,tv-ma,"dramas, independent movies",ns470,87,min,3.61
movie,bridgerton - the afterparty,"david spade, london hughes, fortune feimster",,2021-07-13,2021,tv-14,movies,ns471,39,min,3.58
