type,title,cast,country,date_added,release_year,rating,listed_in,id,duration_int,duration_type,score
tv show,le mans: racing is everything,,,,2017,16+,"documentary, sports",as1897,1,season,3.58
movie,law,"ragini prajwal, mukhyamantri chandru, sudharani, achyuth kumar, avinash, rajesh nataranga, krishna hebbale, mandya ramesh, nagaraj murthy, siri prahlad, madhu hegde, likhitesh, imran pasha",india,,2020,16+,suspense,as1898,120,min,3.43
movie,late bloomers,"connie nelson, dee hennigan, gary carter",,,1996,18+,"comedy, lgbtq",as1899,107,min,3.56
movie,last rampage,"robert patrick, heather graham, bruce davison, molly quinn, chris browning",,,2017,r,"action, adventure, suspense",as1900,92,min,3.63
tv show,lano & woodley: fly,"colin lane, frank woodley",,,2020,16+,"comedy, talk show and variety",as1901,1,season,3.53
movie,landline,"jenny slate, edie falco, jay duplass, abby quinn, john turturro",,,2017,r,comedy,as1902,97,min,3.54
tv show,land of the lustrous,,,,2017,tv-14,"action, adventure, anime",as1903,1,season,3.54
movie,lake effects,"scottie thompson, jane seymour, madeline zima",,,2020,13+,drama,as1904,96,min,3.61
movie,ladybugs,"rodney dangerfield, jonathan brandis, jackee harry, ilene graff, vinessa shaw, tom parks, jeanetta arnette, blake clark",,,1992,pg-13,"comedy, sports",as1905,90,min,3.62
tv show,ladyboys: inside thailand's third gender,,,,2014,18+,"documentary, international",as1906,1,season,3.52
movie,lady valor: the kristin beck story,kristin beck,,,2014,16+,"documentary, special interest",as1907,84,min,3.47
movie,lady in the death house,"jean parker, lionel atwill, douglas fowley, marica mae jones, george irving, forrest taylor",,,1944,18+,"drama, suspense",as1908,59,min,3.59
movie,lady behave!,"sally eilers, neil hamilton, joseph schildkraut, grant mitchell, patricia farr, marcia mae jones",,,1937,13+,comedy,as1909,59,min,3.53
movie,ladies in lavender,"daniel bruhl, judi dench, maggie smith",,,2004,pg-13,"comedy, drama, romance",as1910,104,min,3.56
tv show,labyrinth,"john hurt, tom felton, vanessa kirby, jessica brown findlay",,,2014,tv-14,science fiction,as1911,1,season,3.54
movie,laal kaptaan,"saif ali khan, manav vij, deepak dobriyal, zoya hussain, simone singh",,,2019,18+,"action, international",as1912,153,min,3.62
tv show,laakhon mein ek (telugu),"shweta tripathi sharma, sandeep mehta, suyash joshi, arun nalawade, rupesh tillu",,,2019,tv-nr,"comedy, drama",as1913,2,season,3.57
tv show,laakhon mein ek (tamil),"shweta tripathi sharma, sandeep mehta, suyash joshi, arun nalawade, rupesh tillu",,,2019,tv-nr,"comedy, drama",as1914,2,season,3.59
tv show,laakhon mein ek,"shweta tripathi sharma, sandeep mehta, suyash joshi, arun nalawade, rupesh tillu",,,2019,tv-nr,tv shows,as1915,2,season,3.56
tv show,la usurpadora,"sandra echeverría, arap bethke, andrés palacios, daniela schmidt, aurora gil, juan carlos barreto, ana bertha espín, queta lavat, germán bracco, macarena oz, monserrath marañón, verónica terán, emilio guerrero, josh gutiérrez",,,2019,16+,tv shows,as1916,1,season,3.6
tv show,l.a. burning: the riots 25 years later,"george holliday, john singleton",,,2017,tv-14,tv shows,as1917,1,season,3.47
movie,kung fu punch of death,fei meng,,,2007,r,action,as1918,90,min,3.55
tv show,kung fu panda: the paws of destiny,"gunnar sizemore, haley tju, chrissy metz, makana say, james hong, mick wingert, laya deleonhayes",united states,,2019,7+,kids,as1919,2,season,3.5
tv show,kung food,,,,2011,7+,kids,as1920,1,season,3.5
movie,kshay,"rasika dugal, alekh sangal, sudhir pednekar, adityavardhan gupta",,,2012,nr,drama,as1921,92,min,3.59
movie,kroos (4k uhd),"toni kroos, jessica kroos, felix kroos, gareth bale, casemiro, luka modrić, florentino pérez, sergio ramos, josé ángel sánchez, pep guardiola, jupp heynckes, uli hoeneß, miroslav klose, joachim löw, matthias sammer, zinédine zidane, sascha breese, dirk hebel, volker struth, marcel reif, robbie williams",germany,,2019,g,"documentary, special interest",as1922,114,min,3.47
movie,kroos,"toni kroos, jessica kroos, felix kroos, gareth bale, casemiro, luka modrić, florentino pérez, sergio ramos, josé ángel sánchez, pep guardiola, jupp heynckes, uli hoeneß, miroslav klose, joachim löw, matthias sammer, zinédine zidane, sascha breese, dirk hebel, volker struth, marcel reif, robbie williams",germany,,2019,13+,"documentary, special interest",as1923,114,min,3.62
